ang_left_s0 ang_left_s1 ang_left_e0 ang_left_e1 ang_left_w0 ang_left_w1 ang_left_w2 vel_left_s0 vel_left_s1 vel_left_e0 vel_left_e1 vel_left_w0 vel_left_w1 vel_left_w2 torq_left_s0 torq_left_s1 torq_left_e0 torq_left_e1 torq_left_w0 torq_left_w1 torq_left_w2
-0.762771946776022 -0.9913350841709486 -0.07746602978821339 1.4845099074761092 0.047553404424447825 1.080689465065274 -0.1622184683188825 -0.8262388677391278 0.01021017612225158 -0.19085175366977952 0.08717919612076348 -0.03809181091763089 -0.27567475530079266 -0.5317145565203323 -0.372 -26.288 -1.508 -11.584 0.144 0.472 -0.232
-0.7727428218972772 -0.9913350841709486 -0.0790000105760988 1.4860438882639946 0.04678641403050512 1.076471017898589 -0.1679708962734528 -0.8333074512083789 -0.02120575040775328 -0.1990984343839058 0.1170243263242681 -0.04084070448900632 -0.3522510762176795 -0.5230751767245809 -0.372 -26.032 -1.508 -11.216 0.136 0.568 -0.232
-0.7807962210336756 -0.9928690649588341 -0.08091748656095557 1.48757786905188 0.04678641403050512 1.0722525707319042 -0.17257283863710904 -0.8501935117182565 -0.028667032958629435 -0.1900663555065294 0.1531526418337737 -0.0070685834692510935 -0.43079089254269165 -0.48498336580695 -0.372 -25.968 -1.676 -11.124 0.136 0.78 -0.232
-0.788849620170074 -0.9924855697618626 -0.08283496254581234 1.4894953450367368 0.04678641403050512 1.0676506283682479 -0.177941771394708 -0.8446957245755057 -0.0679369411211355 -0.15629423448677418 0.17357299407827684 -0.0011780972448751821 -0.4099778412165634 -0.46574111080732206 0.124 -25.524 -1.508 -11.096 0.136 0.772 -0.252
-0.7969030193064724 -0.9932525601558054 -0.0847524385306691 1.4914128210215936 0.04716990922747647 1.0657331523833913 -0.18139322816745018 -0.833700150290004 -0.0640099503048849 -0.1822123738740282 0.1610066234662749 -0.004319689897875668 -0.3436116964219281 -0.4798782777458242 1.556 -25.368 -1.108 -10.636 0.3 0.608 -0.232
-0.8030389424580141 -0.9940195505497481 -0.08782040010643993 1.4933302970064504 0.04908738521233324 1.0618982004136777 -0.18637866572807776 -0.7512333431487412 -0.06832964020276057 -0.21519909673053328 0.19163715183302965 0.05890486224375911 -0.32122784876929966 -0.41390483203281403 2.272 -25.176 -0.5 -10.576 0.444 0.54 -0.212
-0.8110923415944126 -0.9963205217315763 -0.09012137128826805 1.4960147633852499 0.05062136600021865 1.0565292676560787 -0.1902136176977913 -0.7288494954961128 -0.11780972448751822 -0.23679754621991161 0.2360121480566615 0.13037609509952017 -0.3711006321356824 -0.433147087032442 3.052 -24.86 -0.436 -10.728 0.444 0.616 -0.24
-0.8179952551398969 -0.9970875121255189 -0.0947233136519243 1.4990827249610206 0.05330583237901813 1.0523108204893938 -0.1951990552584189 -0.7217809120268617 -0.15472343816027392 -0.33732851111592715 0.24386612968916271 0.1971349389757805 -0.4343251842773172 -0.4127267347879388 3.208 -24.828 -0.5 -10.696 0.292 0.656 -0.212
-0.8237476830944672 -0.9990049881103757 -0.09817477042466648 1.5010002009458774 0.055223308363874894 1.0473253829287663 -0.19865051203116108 -0.6436337947834746 -0.16139932254789996 -0.3840597018293094 0.2697842690764167 0.23365595356691113 -0.4457134576444439 -0.42058071642044004 3.304 -24.604 -0.5 -10.728 0.164 0.664 -0.232
-0.8306505966399516 -1.0013059592922038 -0.10200972239438001 1.5052186481125622 0.05675728915176031 1.0434904309590527 -0.2024854640008746 -0.6326382204979728 -0.17278759591502674 -0.44060836958331817 0.3082687790756727 0.2120575040775328 -0.4158683274409393 -0.3805254100946839 3.364 -23.936 0.536 -10.852 0.136 0.616 -0.232
-0.8352525390036077 -1.002456444883118 -0.10469418877317949 1.5082866096883332 0.0559902987578176 1.040422469383282 -0.2067039111675595 -0.5929756132538417 -0.16571901244577564 -0.36285395142155613 0.3271183349936756 0.09032078877376397 -0.3966260724413113 -0.3860231972374347 3.612 -23.46 1.608 -10.728 0.292 0.52 -0.232
-0.8433059381400062 -1.004757416064946 -0.10737865515197896 1.5117380664610753 0.05483981316690354 1.0354370318226542 -0.21053886313727305 -0.659734457130102 -0.17121679958852648 -0.2670353755050413 0.34675328907492864 -0.04476769530525693 -0.3970187715229364 -0.38798669264556 4.144 -23.428 2.552 -10.788 0.636 0.548 -0.252
-0.8509758420794333 -1.0070583872467742 -0.10852914074289302 1.5163400088247314 0.054072822772960834 1.0312185846559694 -0.215907795894872 -0.6923284809049821 -0.21991148571003402 -0.1751437904047771 0.3711006321356824 -0.12173671530376882 -0.42961279529781643 -0.39976766509431183 4.516 -23.272 2.448 -10.82 0.904 0.596 -0.232
-0.8571117652309749 -1.010126348822545 -0.10929613113683573 1.5194079704005024 0.05445631796993219 1.0281506230801987 -0.21859226227367146 -0.6970408698844828 -0.22148228203653425 -0.10170906214089073 0.35382187254417974 -0.0620464548967596 -0.3950552761148111 -0.3950552761148111 5.36 -22.984 2.18 -10.604 0.856 0.528 -0.252
-0.8643981739734307 -1.0120438248074017 -0.1112136071216925 1.5247769031581013 0.0559902987578176 1.0227816903225997 -0.222427214243385 -0.6483461837629753 -0.21834068938353376 -0.1240929097935192 0.3648174468296814 0.06086835765188441 -0.3734568266254328 -0.36560284499293155 5.42 -22.764 1.844 -10.604 0.62 0.52 -0.24
-0.8697671067310296 -1.0143447959892298 -0.11236409271260656 1.527844864733872 0.05790777474267437 1.0197137287468288 -0.2266456614100699 -0.6294966278449724 -0.24582962509728803 -0.1460840583645226 0.3872012944823099 0.14961835009914815 -0.40683624856356293 -0.36089045601343084 6.324 -22.732 1.744 -10.576 0.42 0.492 -0.24
-0.8762865250795426 -1.0170292623680293 -0.11274758790957791 1.533213797491471 0.05829126993964572 1.0147282911862012 -0.23009711818281206 -0.5796238444785896 -0.2505420140767888 -0.12959069693627004 0.41154863754306364 0.16257741979277515 -0.3970187715229364 -0.3832743036660593 6.076 -22.54 1.844 -10.36 0.244 0.548 -0.224
-0.8808884674431988 -1.0200972239438002 -0.11389807350049197 1.5374322446581559 0.05829126993964572 1.010126348822545 -0.2346990605464683 -0.5407466353977086 -0.2548617039746644 -0.08089601081476251 0.4370740778486926 0.062439153978384655 -0.42058071642044004 -0.38563049815580963 5.704 -22.54 1.544 -10.268 0.436 0.576 -0.204
-0.8862574002007978 -1.0223981951256282 -0.11581554948534874 1.5420341870218122 0.05790777474267437 1.0062913968528313 -0.23930100291012454 -0.4853760648885751 -0.2662499773417912 -0.11545352999776785 0.46966810162357264 -0.019242254999627974 -0.420188017338815 -0.4127267347879388 5.42 -22.54 1.108 -10.24 0.62 0.624 -0.224
-0.88970885697354 -1.0262331470953419 -0.1169660350762628 1.5474031197794111 0.05829126993964572 1.002456444883118 -0.24275245968286674 -0.45788712917482083 -0.2921681167290452 -0.1401935721401467 0.5069745143779534 0.011388273367126762 -0.42332960999181546 -0.4091924430533133 4.924 -22.444 1.712 -10.176 0.564 0.568 -0.212
-0.8939273041402248 -1.02853411827717 -0.11734953027323415 1.5527720525370101 0.058674765136617076 0.9986214929134043 -0.24850488763743703 -0.42961279529781643 -0.2960951075452958 -0.09581857591651483 0.5199335840715804 0.03337942193813016 -0.3848450999925595 -0.42058071642044004 4.644 -22.38 1.644 -10.148 0.528 0.5 -0.204
-0.8977622561099384 -1.0316020798529408 -0.11850001586414821 1.5596749660824945 0.05905826033358843 0.9936360553527768 -0.2519563444101792 -0.43236168886919185 -0.3137665662184235 -0.08874999244726373 0.5619523858054619 0.029845130203504617 -0.3993749660126868 -0.43275438795081694 4.456 -22.224 1.44 -10.176 0.592 0.46 -0.224
-0.9019807032766233 -1.0354370318226542 -0.11888351106111957 1.5669613748249502 0.058674765136617076 0.9890341129891205 -0.25655828677383546 -0.4036946559105624 -0.303949089177797 -0.07579092275363672 0.614181363661595 0.014922565101752308 -0.4272566008080661 -0.4370740778486926 3.988 -22.288 0.668 -10.056 0.592 0.5 -0.224
-0.9065826456402796 -1.0385049933984252 -0.11965050145506227 1.573097297976492 0.059825250727531136 0.9848156658224356 -0.2619272195314344 -0.4127267347879388 -0.3369358120343021 -0.03259402377488004 0.6283185306000971 0.03063052836675474 -0.4692754025419476 -0.46338491631757167 3.988 -22.128 0.604 -10.148 0.492 0.48 -0.212
-0.909267112019079 -1.0419564501711673 -0.12003399665203363 1.5803837067189475 0.0617427267123879 0.978679742670894 -0.26691265709206197 -0.3828816045844342 -0.32594023774880043 -0.054192473264258384 0.6738716240686042 0.06518804754976008 -0.4869468612150753 -0.49558624101082666 3.864 -22.16 0.536 -10.056 0.372 0.412 -0.212
-0.9142525495797066 -1.0454079069439095 -0.12080098704597633 1.5876701154614032 0.060975736318445196 0.9729273147163237 -0.2718980946526896 -0.37070793305405736 -0.31690815887142404 -0.04908738520313259 0.6632687488647275 0.07736171908013696 -0.5376050427447081 -0.5101161070309539 3.364 -22.224 0.2 -10.024 0.356 0.384 -0.24
-0.9169370159585061 -1.049242858913623 -0.12156797743991904 1.5953400194008303 0.06135923151541655 0.9664078963678107 -0.27803401780423126 -0.3290818304018009 -0.3385066083608024 -0.03652101459113065 0.7029313561088587 0.03848450999925595 -0.5917975160089666 -0.4991205327454522 3.24 -22.32 0.232 -9.904 0.4 0.46 -0.184
-0.9200049775342769 -1.0530778108833365 -0.12156797743991904 1.6033934185372287 0.06135923151541655 0.959121487625355 -0.28301945536485884 -0.2996293992799213 -0.3526437752993045 -0.03809181091763089 0.7480917504957407 -0.01767145867312773 -0.6507023782527256 -0.491266551112951 2.836 -22.224 0.032 -9.66 0.456 0.492 -0.224
-0.9226894439130764 -1.0561457724591075 -0.12195147263689039 1.6110633224766557 0.06135923151541655 0.9518350788828992 -0.28723790253154374 -0.24740042142378826 -0.3479313863198038 -0.05890486224375911 0.788539755903122 0.01767145867312773 -0.6891868882519816 -0.5069745143779534 2.428 -22.256 -0.032 -9.444 0.5 0.548 -0.196
-0.9238399295039904 -1.0599807244288209 -0.1227184630308331 1.6202672072039683 0.0625097171063306 0.9437816797465008 -0.29375732088005674 -0.2642864819336659 -0.36992253489080723 -0.07932521448826227 0.8368417429430044 0.04633849163175717 -0.7327764863123634 -0.5250386721327062 1.836 -22.064 -0.164 -9.352 0.5 0.54 -0.224
-0.9272913862767326 -1.0638156763985345 -0.12310195822780445 1.6294710919312807 0.06289321230330196 0.9364952710040451 -0.298359263243713 -0.21402099948565811 -0.36952983580918214 -0.07107853377413599 0.865901474983259 0.07068583469251093 -0.7614435192709927 -0.5069745143779534 1.744 -22.032 -0.1 -9.26 0.492 0.508 -0.224
-0.928825367064618 -1.068801113959162 -0.12386894862174716 1.6398254622495072 0.06366020269724466 0.9276748814737039 -0.3041116911982833 -0.22187498111815931 -0.3891647898904352 -0.04555309346850705 0.8957466051867635 0.09424777959001458 -0.7967864366172482 -0.5101161070309539 1.588 -21.968 -0.164 -9.352 0.4 0.5 -0.224
-0.9311263382464462 -1.0722525707319042 -0.12425244381871851 1.6490293469768198 0.06404369789421602 0.9188544919433629 -0.30986411915285356 -0.22462387468953474 -0.40958514213493835 -0.021991148571003403 0.9617200508997737 0.06715154295788539 -0.8364490438613794 -0.5273948666224566 1.496 -21.78 -0.232 -9.628 0.344 0.5 -0.232
-0.9330438142313029 -1.0768545130955605 -0.1234854534247758 1.6593837172950463 0.06481068828815872 0.9104175976099931 -0.3144660615165098 -0.2230530783630345 -0.4158683274409393 -0.021598449489378342 0.976642616001526 0.06950773744763575 -0.8254534695758776 -0.5482079179485848 1.088 -21.78 -0.332 -9.748 0.344 0.432 -0.224
-0.935344785413131 -1.0799224746713312 -0.12425244381871851 1.6689710972193301 0.06519418348513008 0.9042816744584514 -0.31906800388016604 -0.2179479903019087 -0.3981968687678116 0.01767145867312773 0.9982410654909044 0.029452431121879556 -0.8191702842698767 -0.5112942042758291 1.12 -21.748 -0.3 -9.72 0.328 0.384 -0.224
-0.9372622613979879 -1.0845244170349875 -0.12386894862174716 1.6800924579314993 0.06442719309118737 0.8931603137462821 -0.3236699462438223 -0.18574666560865372 -0.3930917807066858 0.0 1.0265153993679088 -0.014529866020127248 -0.8289877613105032 -0.4940154446843264 1.212 -21.748 -0.332 -9.748 0.356 0.412 -0.212
-0.9384127469889019 -1.0879758738077296 -0.12425244381871851 1.69159731384064 0.06481068828815872 0.8851069146098838 -0.32903887900142126 -0.17435839224152697 -0.3895574889720603 -0.02120575040775328 1.0634291130406646 -0.0047123889795007284 -0.8643306786567587 -0.46456301356244684 1.276 -21.78 -0.332 -9.596 0.344 0.396 -0.212
-0.9403302229737587 -1.0921943209744145 -0.12386894862174716 1.7011846937649238 0.06442719309118737 0.8755195346855998 -0.33325732616810616 -0.16532631336415057 -0.4099778412165634 -0.01688606050987761 1.086205659774918 0.0035342917346255468 -0.8878926235542624 -0.45238934203207 1.028 -21.62 -0.368 -9.412 0.316 0.46 -0.232
-0.9422476989586154 -1.096029272944128 -0.12540292940963257 1.7119225592801217 0.06442719309118737 0.8674661355492015 -0.336325287743877 -0.15433073907864886 -0.4386448741751928 -0.014529866020127248 1.0512554415102875 -0.0027488935713754254 -0.8973174015132638 -0.4091924430533133 1.088 -21.492 -0.5 -9.26 0.336 0.548 -0.212
-0.9426311941555867 -1.1006312153077844 -0.12425244381871851 1.7226604247953197 0.06557767868210143 0.8605632220037172 -0.34054373491056183 -0.13076879418114523 -0.4288273971345663 0.0011780972448751821 1.0964158358971696 -0.00039269908162506076 -0.885929128146137 -0.40565815131868777 1.12 -21.62 -0.94 -9.016 0.336 0.5 -0.224
-0.9441651749434722 -1.1048496624744693 -0.1234854534247758 1.7333982903105176 0.06481068828815872 0.8509758420794333 -0.34399519168330406 -0.11466813183451774 -0.420188017338815 -0.007461282550876154 1.118799683549798 0.012959069693627005 -0.8494081135550063 -0.37934731284980866 0.84 -21.556 -1.24 -8.984 0.328 0.48 -0.212
-0.9453156605343862 -1.109068109641154 -0.12425244381871851 1.7472041174014863 0.06519418348513008 0.8421554525490922 -0.3474466484560462 -0.11466813183451774 -0.4315762907059417 -0.014922565101752308 1.1686724669161808 0.005890486224375911 -0.8380198401878796 -0.3612831550950559 0.716 -21.652 -1.208 -8.892 0.292 0.48 -0.232
-0.9449321653374149 -1.113286556807839 -0.12425244381871851 1.7602429540985123 0.06557767868210143 0.8321845774278369 -0.3508981052287884 -0.11388273367126761 -0.4190099200939398 -0.050658181529632834 1.2146182594663129 0.01610066234662749 -0.8521570071263818 -0.31141037172867314 0.496 -21.396 -1.408 -9.016 0.244 0.596 -0.212
-0.9464661461253003 -1.1182719943684667 -0.1257864246066039 1.772898295598567 0.06481068828815872 0.8248981686853812 -0.3539660668045592 -0.0640099503048849 -0.45160394386881986 -0.023954643979128706 1.2232576392620642 -0.00039269908162506076 -0.834092849371629 -0.30944687632054785 0.592 -21.272 -1.108 -9.168 0.28 0.568 -0.212
-0.9464661461253003 -1.12210694633818 -0.12616991980357528 1.7851701419016504 0.06519418348513008 0.8179952551398969 -0.35473305719850196 -0.06086835765188441 -0.44257186499144346 -0.049480084284757656 1.2330751163026907 0.0047123889795007284 -0.8026769228416242 -0.2572178984644148 0.684 -20.828 -1.072 -9.352 0.292 0.452 -0.212
-0.9464661461253003 -1.1267088887018364 -0.126936910197518 1.7985924737956476 0.06442719309118737 0.8107088463974411 -0.3589515043651868 -0.06832964020276057 -0.4382521750935678 -0.08678649703913842 1.2511392740574434 -0.004319689897875668 -0.7300275927409879 -0.22226768019978438 0.776 -20.54 -1.072 -9.32 0.292 0.316 -0.212
-0.9468496413222717 -1.1313108310654927 -0.12808739578843203 1.8112478152957023 0.06481068828815872 0.8026554472610428 -0.3601019899561009 -0.019634954081253035 -0.44257186499144346 -0.09071348785538903 1.2656691400775708 0.012173671530376884 -0.7154977267208606 -0.22462387468953474 0.716 -20.224 -0.904 -9.748 0.28 0.308 -0.212
-0.9468496413222717 -1.135912773429149 -0.12885438618237474 1.8254371375836425 0.06519418348513008 0.795369038518587 -0.36201946594095763 -0.03887720908088101 -0.4370740778486926 -0.10524335387551628 1.2617421492613201 0.0035342917346255468 -0.6781913139664799 -0.17632188764965226 0.592 -19.84 -0.668 -10.056 0.272 0.328 -0.212
-0.9468496413222717 -1.140514715792805 -0.1292378813793461 1.838092479083697 0.06404369789421602 0.788849620170074 -0.36278645633490036 -0.006283185306000972 -0.4084070448900632 -0.08521570071263818 1.2904091822199495 -0.009817477040626518 -0.666410341517728 -0.1240929097935192 0.776 -19.524 -0.332 -10.056 0.316 0.328 -0.212
-0.947233136519243 -1.1431991821716045 -0.13000487177328882 1.8495973349928376 0.06519418348513008 0.7842476778064178 -0.36355344672884304 0.013744467856877126 -0.38445240091093447 -0.06283185306000971 1.222079542017189 -0.02670353755050413 -0.6055419838658437 -0.09778207132464012 1.088 -19.304 -0.332 -9.996 0.356 0.296 -0.232
-0.948383622110157 -1.1474176293382894 -0.12962137657631745 1.8622526764928924 0.06519418348513008 0.7796457354427615 -0.3631699515318717 -0.014922565101752308 -0.37974001193143375 -0.027096236632129192 1.182416934773058 -0.012173671530376884 -0.48576876397020013 -0.07736171908013696 0.964 -18.984 -0.3 -9.748 0.336 0.328 -0.212
-0.9468496413222717 -1.1504855909140603 -0.13077186216723152 1.8733740372050616 0.06557767868210143 0.775810783473048 -0.36508742751672846 -0.01649336142825255 -0.3593196596869306 -0.04437499622363186 1.1486448137533027 -0.0023561944897503642 -0.4111559384614386 -0.043196898978756684 1.212 -18.824 -0.4 -9.504 0.316 0.296 -0.224
-0.948383622110157 -1.153553552489831 -0.13077186216723152 1.8852623883111734 0.06519418348513008 0.7708253459124204 -0.3654709227136998 0.029059732040254495 -0.32122784876929966 -0.018849555918002914 1.1242974706925488 0.01021017612225158 -0.4531747401953201 -0.04280419989713162 1.432 -18.636 -0.368 -9.384 0.292 -0.096 -0.252
-0.9476166317162144 -1.1573885044595447 -0.13038836697026016 1.8971507394172855 0.06557767868210143 0.7620049563820793 -0.3654709227136998 0.0 -0.310232274483798 -0.0047123889795007284 1.1549279990593035 0.005890486224375911 -0.5694136683563381 -0.06479534846813502 1.464 -18.604 -0.332 -9.412 0.292 0.016 -0.252
-0.9464661461253003 -1.1612234564292583 -0.13153885256117423 1.90980608091734 0.06442719309118737 0.752034081260824 -0.3658544179106712 0.008639379795751335 -0.3577488633604303 0.013351768775252066 1.176133749467057 -0.0023561944897503642 -0.7814711724338709 -0.04751658887663235 1.744 -18.412 -0.804 -9.628 0.28 0.316 -0.232
-0.9453156605343862 -1.1635244276110863 -0.13115535736420286 1.9201604512355666 0.06519418348513008 0.7458981581092824 -0.36623791310764253 0.0400553063257562 -0.33732851111592715 -0.00510508806112579 1.1521791054879282 -0.0027488935713754254 -0.853727803452882 -0.04830198703988247 1.68 -18.256 -0.904 -9.628 0.244 0.296 -0.252
