ang_left_s0 ang_left_s1 ang_left_e0 ang_left_e1 ang_left_w0 ang_left_w1 ang_left_w2 vel_left_s0 vel_left_s1 vel_left_e0 vel_left_e1 vel_left_w0 vel_left_w1 vel_left_w2 torq_left_s0 torq_left_s1 torq_left_e0 torq_left_e1 torq_left_w0 torq_left_w1 torq_left_w2
-0.8364030245945219 -1.126325393504865 -0.09050486648523941 2.0678061020695377 0.06672816427301549 0.5917330889267983 -0.1564660403643122 0.04162610265225644 -0.6000441967230928 -0.0019634954081253035 0.5874778261110909 -0.011388273367126762 0.03180862561162992 -0.005890486224375911 1.056 -18.38 -0.4 -6.908 0.1 0.384 -0.156
-0.8352525390036077 -1.1313108310654927 -0.09165535207615347 2.073558530024108 0.06672816427301549 0.5917330889267983 -0.15608254516734085 0.05772676499888393 -0.620857248049221 -0.004319689897875668 0.5792311453969646 0.00039269908162506076 0.04241150081550656 0.004319689897875668 1.276 -18.224 -0.436 -6.936 0.124 0.376 -0.176
-0.8364030245945219 -1.1385972398079482 -0.09088836168221076 2.0804614435695923 0.06634466907604414 0.5917330889267983 -0.1564660403643122 0.0789325154066372 -0.5937610114170918 -0.01531526418337737 0.6031857893760932 -0.0070685834692510935 0.028667032958629435 -0.0047123889795007284 1.088 -18.192 -0.536 -7.028 0.164 0.46 -0.176
-0.8344855486096651 -1.1443496677625187 -0.09012137128826805 2.0858303763271913 0.06711165946998685 0.5928835745177125 -0.15608254516734085 0.0750055245903866 -0.6051492847842186 -0.0027488935713754254 0.6067200811107188 -0.009032078877376396 0.043982297142006806 0.001570796326500243 1.028 -18.096 -0.468 -7.092 0.088 0.472 -0.128
-0.8325680726248084 -1.1504855909140603 -0.09050486648523941 2.091966299478733 0.06672816427301549 0.5940340601086265 -0.1514806028036846 0.09032078877376397 -0.58198003896834 -0.010995574285501701 0.5694136683563381 0.012173671530376884 0.09935286765114036 0.15158184550727344 1.34 -17.968 -0.536 -7.06 0.116 0.396 -0.148
-0.8318010822308656 -1.1558545236716593 -0.09088836168221076 2.0977187274333033 0.06634466907604414 0.5959515360934833 -0.14879613642488512 0.12684180336489462 -0.5698063674379631 0.006283185306000972 0.5650939784584624 -0.024740042142378828 0.1331249886708956 0.33457961754455173 1.4 -17.936 -0.636 -7.06 0.136 0.328 -0.148
-0.8310340918369229 -1.1612234564292583 -0.09088836168221076 2.1030876601909023 0.06711165946998685 0.5971020216843973 -0.14534467965214296 0.12684180336489462 -0.5705917656012133 0.00510508806112579 0.5643085802952122 -0.00510508806112579 0.16257741979277515 0.36363934958480626 1.056 -17.872 -0.94 -7.152 0.108 0.336 -0.128
-0.8295001110490375 -1.1669758843838285 -0.09165535207615347 2.1084565929485013 0.06634466907604414 0.5986360024722828 -0.14189322287940076 0.13548118316064595 -0.5894413215192161 0.0019634954081253035 0.5544911032545857 0.008639379795751335 0.12723450244651968 0.3381139092791773 0.716 -17.808 -1.34 -7.304 0.06 0.336 -0.1
-0.8260486542762953 -1.1738787979293128 -0.09127185687918211 2.1145925161000427 0.06711165946998685 0.5997864880631968 -0.13805827090968723 0.18181967479240313 -0.626747734273597 -0.03887720908088101 0.5580253949892113 0.0035342917346255468 0.1288052987730199 0.3569634651971802 0.776 -17.62 -1.34 -7.428 0.044 0.396 -0.128
-0.8248981686853812 -1.1796312258838832 -0.09203884727312482 2.1188109632667276 0.06672816427301549 0.6013204688510821 -0.1349903093339164 0.18574666560865372 -0.607898178355594 -0.05026548244800778 0.5199335840715804 -0.01767145867312773 0.1480475537726479 0.33536501570780186 0.808 -17.332 -1.208 -7.364 0.016 0.336 -0.092
