ang_left_s0 ang_left_s1 ang_left_e0 ang_left_e1 ang_left_w0 ang_left_w1 ang_left_w2 vel_left_s0 vel_left_s1 vel_left_e0 vel_left_e1 vel_left_w0 vel_left_w1 vel_left_w2 torq_left_s0 torq_left_s1 torq_left_e0 torq_left_e1 torq_left_w0 torq_left_w1 torq_left_w2
-1.00590790165586 -0.3497476196378743 -0.04371845245473429 1.410495334460638 0.014956312681882784 0.4141748127290617 -0.26422819071326253 -0.678584013048105 -0.17475109132315203 0.045945792550132106 0.8285950622288781 -0.3981968687678116 -0.9236282399821428 -0.22069688387328412 1.776 -14.16 1.072 -4.796 0.164 0.528 -0.232
-1.012427320004373 -0.3508981052287884 -0.042184471666848876 1.4189322287940078 0.01227184630308331 0.4061214135926633 -0.2661456666981193 -0.6491315819262254 -0.17043140142527635 0.07029313561088588 0.8443030254938806 -0.3648174468296814 -0.9499390784510219 -0.2100940086694075 2.056 -13.684 1.072 -4.676 0.172 0.46 -0.224
-1.0185632431559146 -0.35281558121364515 -0.042184471666848876 1.4281361135213202 0.009587379924283835 0.3953835480774654 -0.26806314268297604 -0.6754424203951045 -0.13430308591577078 0.08678649703913842 0.8423395300857552 -0.3204424506060496 -0.9291260271248937 -0.17318029499665177 2.212 -13.808 0.904 -4.616 0.152 0.412 -0.204
-1.0258496518983704 -0.35473305719850196 -0.04026699568199211 1.437723493445604 0.006902913545484362 0.3857961681531816 -0.2692136282738901 -0.6762278185583546 -0.168075206935526 0.07343472826388636 0.8851437299828869 -0.28431413509654396 -0.9805696068177766 -0.16061392438464983 2.4 -14.224 0.904 -4.796 0.164 0.48 -0.212
-1.0316020798529408 -0.35473305719850196 -0.0395000052880494 1.4469273781729166 0.005752427954570301 0.37697577862284043 -0.27074760906177553 -0.6475607855997252 -0.19163715183302965 0.0950331777532647 0.9385508050838952 -0.22187498111815931 -0.9809623058994017 -0.15825772989489947 2.368 -13.744 0.972 -4.86 0.172 0.46 -0.224
-1.0385049933984252 -0.3574175235773014 -0.03834951969713534 1.456131262900229 0.004985437560627594 0.3673883986985566 -0.2718980946526896 -0.6251769379470967 -0.17121679958852648 0.1299833960178951 0.9699667316139 -0.15590153540514912 -0.9330530179411443 -0.11113384009989219 2.304 -13.236 0.94 -4.584 0.172 0.328 -0.212
-1.0438739261560241 -0.3601019899561009 -0.03796602450016399 1.4657186428245128 0.004601942363656241 0.3581845139712441 -0.2718980946526896 -0.6239988407022216 -0.17121679958852648 0.0769690199985119 0.9452266894715212 -0.06990043652926081 -0.9208793464107674 -0.08796459428401361 2.336 -13.46 0.568 -4.644 0.152 0.328 -0.224
-1.0496263541105944 -0.3616359707439863 -0.037582529303192634 1.4753060227487966 0.004218447166684887 0.34783014365301756 -0.2718980946526896 -0.6059346829474688 -0.1888882582616542 0.06950773744763575 0.9467974857980215 -0.019634954081253035 -0.9491536802877718 -0.05379977418263332 2.648 -13.684 0.568 -4.86 -0.144 0.364 -0.232
-1.0561457724591075 -0.3631699515318717 -0.03604854851530722 1.4860438882639946 0.0011504855909140602 0.337475773334791 -0.2726650850466323 -0.6047565857025935 -0.1771072858129024 0.09032078877376397 0.9841038985524022 -0.0911061869370141 -0.9947067737562788 -0.03809181091763089 2.68 -13.048 0.804 -4.768 -0.264 0.364 -0.232
-1.0622816956106491 -0.3647039323197571 -0.03489806292439316 1.4956312681882784 -0.004985437560627594 0.3278883934105072 -0.2730485802436036 -0.6181083544778456 -0.16414821611927538 0.11859512265076834 0.9801769077361516 -0.3314380248915513 -0.9864600930421525 -0.03652101459113065 2.896 -12.984 0.804 -4.552 0.152 0.336 -0.212
-1.0684176187621908 -0.36662140830461387 -0.034514567727421806 1.505985638506505 -0.009587379924283835 0.317917518289252 -0.2730485802436036 -0.5800165435602147 -0.1700387023436513 0.12959069693627004 0.9789988104912765 -0.5057964171330782 -0.9350165133492696 -0.029059732040254495 2.928 -13.524 0.536 -4.584 0.172 0.328 -0.224
-1.0726360659288756 -0.3696893698803847 -0.033364082136507746 1.5167235040217029 -0.013038836697026017 0.30833013836496814 -0.273432075440575 -0.5513495106015853 -0.19163715183302965 0.08678649703913842 1.008058542531531 -0.4802709768274493 -0.9306968234513939 0.0 3.148 -13.112 0.604 -4.4 0.164 0.316 -0.212
-1.0787719890804173 -0.3696893698803847 -0.03298058693953639 1.5266943791429581 -0.014956312681882784 0.2998932440315984 -0.2730485802436036 -0.5399612372344585 -0.16571901244577564 0.07225663101901117 0.9950994728379039 -0.32829643223855076 -0.9358019115125198 -0.01021017612225158 3.208 -12.668 0.872 -4.156 0.164 0.336 -0.196
