ang_left_s0 ang_left_s1 ang_left_e0 ang_left_e1 ang_left_w0 ang_left_w1 ang_left_w2 vel_left_s0 vel_left_s1 vel_left_e0 vel_left_e1 vel_left_w0 vel_left_w1 vel_left_w2 torq_left_s0 torq_left_s1 torq_left_e0 torq_left_e1 torq_left_w0 torq_left_w1 torq_left_w2
-0.8061069040337849 -0.1679708962734528 -0.042184471666848876 1.118655489565438 0.06135923151541655 0.6063059064117098 -0.14764565083397108 -0.7469136532508656 -0.15040374826239827 -0.027881634795379313 0.2528982085665391 -0.07264933010063623 -0.45631633284832057 -0.536819644581458 -0.248 -13.684 -1.308 -6.112 -0.008 0.528 -0.232
-0.8133933127762406 -0.17027186745528092 -0.04141748127290617 1.1217234511412089 0.058674765136617076 0.6013204688510821 -0.15301458359157002 -0.7657632091688684 -0.1771072858129024 -0.018456856836377853 0.2850995332597941 -0.09817477040626518 -0.4519966429504449 -0.5631304830503371 -0.464 -13.716 -1.576 -6.172 0.044 0.548 -0.24
-0.8210632167156677 -0.1721893434401377 -0.04256796686382023 1.125174907913951 0.05829126993964572 0.5963350312904546 -0.15838351634916897 -0.7516260422303662 -0.19556414264928024 -0.018849555918002914 0.3432189973403031 -0.13469578499739585 -0.4889103566232006 -0.5647012793768373 -0.464 -13.556 -1.508 -6.264 0.088 0.596 -0.212
-0.8302671014429802 -0.17487380981893716 -0.042184471666848876 1.1290098598836644 0.057524279545703015 0.5909660985328556 -0.16413594430373926 -0.7594800238628675 -0.23012166183228558 -0.01531526418337737 0.37463492387030795 -0.14844025285427295 -0.5226824776429558 -0.5411393344793337 -0.464 -13.652 -1.04 -6.264 0.044 0.528 -0.252
-0.8375535101854359 -0.17755827619773665 -0.04295146206079158 1.1336118022473207 0.0559902987578176 0.5840631849873713 -0.16988837225830958 -0.7806857742706207 -0.22030418479165909 -0.014922565101752308 0.3840597018293094 -0.13273228958927052 -0.5513495106015853 -0.5674501729482128 -0.496 -13.684 -1.172 -6.236 0.06 0.528 -0.204
-0.845223414124863 -0.1794757521825934 -0.042184471666848876 1.1374467542170343 0.05445631796993219 0.5786942522297723 -0.17525730501590853 -0.7724390935564944 -0.23365595356691113 -0.0007853981632501215 0.4150829292776892 -0.16336281795602528 -0.5635231821319622 -0.5399612372344585 -0.56 -13.716 -1.508 -6.204 0.088 0.56 -0.224
-0.854043803655204 -0.1821602185613929 -0.042184471666848876 1.1431991821716045 0.05330583237901813 0.5725583290782307 -0.18100973297047881 -0.7802930751889957 -0.26153758836229046 -0.01610066234662749 0.4476769530525692 -0.13862277581364643 -0.5980807013149675 -0.5270021675408315 -0.496 -13.716 -1.376 -6.052 0.08 0.548 -0.24
-0.8617137075946312 -0.184461189743221 -0.042184471666848876 1.1478011245352608 0.052155346788104066 0.5660389107297177 -0.18599517053110642 -0.7673340054953687 -0.26114488928066537 -0.008639379795751335 0.47045349978682277 -0.09267698326351434 -0.5870851270294658 -0.5097234079493288 -0.528 -13.808 -1.108 -5.928 0.024 0.588 -0.252
-0.8693836115340582 -0.18829614171293454 -0.04256796686382023 1.1539370476868025 0.051004861197190006 0.559902987578176 -0.19136410328870537 -0.7920740476377475 -0.28352873693329383 -0.009817477040626518 0.5218970794797058 -0.07618362183526178 -0.5862997288662157 -0.4987278336638271 -0.404 -13.716 -1.14 -5.868 0.0 0.596 -0.26
-0.8770535154734853 -0.19136410328870537 -0.042184471666848876 1.1600729708383442 0.049854375606275945 0.5541505596236057 -0.19634954084933295 -0.7842200660052463 -0.30551988550429726 0.03220132469325498 0.5599888903973366 -0.09346238142676445 -0.6157521599880952 -0.49165925019457607 -0.308 -13.716 -1.172 -5.9 0.024 0.624 -0.268
-0.8847234194129123 -0.19481556006144754 -0.042184471666848876 1.1662088939898858 0.04832039481839053 0.5472476460781214 -0.2001844928190465 -0.7453428569243653 -0.3322234230548014 -0.003926990816250607 0.6031857893760932 -0.11113384009989219 -0.614181363661595 -0.45631633284832057 -0.404 -13.588 -1.14 -5.836 0.024 0.48 -0.232
-0.8912428377614254 -0.19826701683418974 -0.04180097646987752 1.1723448171414275 0.047553404424447825 0.5411117229265797 -0.2044029399857314 -0.7547676348833667 -0.3337942193813016 0.024740042142378828 0.6365652113142235 -0.1130973355080175 -0.6349944149877232 -0.4732023933581982 -0.528 -13.46 -1.208 -5.9 0.016 0.46 -0.232
-0.8992962368978238 -0.20210196880390327 -0.042184471666848876 1.1800147210808545 0.046402918833533764 0.5338253141841239 -0.20938837754635897 -0.7516260422303662 -0.3581415624420554 0.011780972448751823 0.6620906516198524 -0.11152653918151725 -0.6632687488647275 -0.446106156726069 -0.308 -13.396 -0.836 -5.96 0.016 0.46 -0.252
